user_id,movie_id,rating
user_1,2,4
user_1,4,2
user_1,6,4
user_1,8,1
user_1,9,1
user_1,10,5
user_1,15,1
user_1,16,5
user_1,19,3
user_1,20,4
user_1,21,3
user_1,26,5
user_1,27,3
user_1,30,5
user_2,2,4
user_2,3,2
user_2,6,5
user_2,10,5
user_2,11,3
user_2,12,3
user_2,15,2
user_2,16,5
user_2,17,4
user_2,18,2
user_2,22,1
user_2,25,3
user_2,26,5
user_2,30,5
user_3,1,2
user_3,2,5
user_3,6,5
user_3,9,2
user_3,10,5
user_3,11,1
user_3,13,2
user_3,16,4
user_3,20,1
user_3,22,3
user_3,25,2
user_3,26,5
user_3,27,3
user_3,30,4
user_4,2,5
user_4,5,3
user_4,6,5
user_4,10,4
user_4,13,3
user_4,16,5
user_4,17,2
user_4,20,4
user_4,24,4
user_4,26,5
user_4,27,4
user_4,30,5
user_5,4,5
user_5,5,5
user_5,7,5
user_5,8,2
user_5,9,4
user_5,12,2
user_5,13,1
user_5,14,1
user_5,16,2
user_5,17,4
user_5,18,2
user_5,21,5
user_5,22,4
user_5,24,1
user_5,27,5
user_6,2,4
user_6,4,4
user_6,5,5
user_6,6,4
user_6,7,5
user_6,9,5
user_6,12,1
user_6,13,1
user_6,17,4
user_6,21,5
user_6,24,4
user_6,25,4
user_6,26,3
user_6,27,5
user_7,2,4
user_7,4,5
user_7,5,4
user_7,7,4
user_7,9,4
user_7,12,1
user_7,16,1
user_7,21,5
user_7,24,2
user_7,26,3
user_7,27,4
user_7,28,1
user_7,29,2
user_8,1,3
user_8,4,5
user_8,5,5
user_8,6,3
user_8,7,4
user_8,9,5
user_8,11,2
user_8,12,1
user_8,14,3
user_8,17,3
user_8,19,1
user_8,20,4
user_8,21,5
user_8,22,3
user_8,25,4
user_8,27,5
user_8,29,2
user_9,1,5
user_9,2,5
user_9,3,5
user_9,4,3
user_9,8,3
user_9,9,2
user_9,10,4
user_9,17,2
user_9,19,5
user_9,21,3
user_9,26,5
user_9,27,1
user_9,29,4
user_9,30,4
user_10,1,5
user_10,2,5
user_10,3,5
user_10,4,2
user_10,6,1
user_10,8,4
user_10,10,5
user_10,12,3
user_10,13,3
user_10,14,4
user_10,19,4
user_10,22,4
user_10,23,2
user_10,25,3
user_10,26,5
user_10,28,3
user_11,1,5
user_11,2,5
user_11,3,5
user_11,5,4
user_11,10,4
user_11,12,3
user_11,15,4
user_11,19,4
user_11,20,3
user_11,21,2
user_11,23,2
user_11,24,1
user_11,25,4
user_11,26,4
user_12,1,5
user_12,2,5
user_12,3,5
user_12,4,1
user_12,9,4
user_12,10,4
user_12,13,2
user_12,19,5
user_12,26,5
user_12,30,4
user_13,2,1
user_13,4,3
user_13,7,2
user_13,9,2
user_13,10,4
user_13,13,4
user_13,17,4
user_13,18,5
user_13,21,4
user_13,22,5
user_13,25,5
user_13,27,4
user_13,28,3
user_13,29,5
user_14,8,4
user_14,9,4
user_14,10,3
user_14,12,3
user_14,15,4
user_14,16,1
user_14,17,5
user_14,18,4
user_14,20,3
user_14,21,1
user_14,22,4
user_14,25,5
user_14,28,4
user_14,29,4
user_15,1,3
user_15,3,1
user_15,5,3
user_15,6,1
user_15,12,2
user_15,13,3
user_15,16,1
user_15,17,5
user_15,18,5
user_15,20,3
user_15,21,4
user_15,22,5
user_15,23,3
user_15,25,5
user_15,29,5
user_16,7,1
user_16,8,4
user_16,9,4
user_16,17,5
user_16,18,5
user_16,19,3
user_16,22,5
user_16,23,4
user_16,25,5
user_16,29,4
user_16,30,2
user_17,2,3
user_17,8,5
user_17,9,3
user_17,10,2
user_17,13,5
user_17,14,4
user_17,15,3
user_17,18,3
user_17,19,1
user_17,21,1
user_17,23,5
user_17,24,5
user_17,27,1
user_17,28,5
user_18,1,1
user_18,2,4
user_18,3,1
user_18,5,1
user_18,6,3
user_18,7,2
user_18,8,4
user_18,13,5
user_18,23,5
user_18,24,5
user_18,25,1
user_18,26,2
user_18,28,5
user_18,29,4
user_19,2,3
user_19,8,5
user_19,13,5
user_19,14,2
user_19,23,5
user_19,24,5
user_19,28,5
user_19,30,2
user_20,7,1
user_20,8,5
user_20,12,4
user_20,13,5
user_20,18,2
user_20,21,4
user_20,23,4
user_20,24,5
user_20,25,3
user_20,28,5
